Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
,,,,,,,,,,,,,,,,,,,,
11/24,left on shelf,amount decreased,11/25,left on shelf,amount decreased,11/26,left on shelf,amount decreased,11/27,left on shelf,amount decreased,11/28,left on shelf,amount decreased,11/29,left on shelf,amount decreased,11/30,left on shelf,amount decreased
wildberry,0.8,0.1,wild,0.5,0.3,,,,,,,,,,,,,,,
huckleberry,0.1,0.4,huckle; praline,0.5,0.1; 0.5,,,,,,,,,,,,,,,
choc; dawg,0.9,0.4; 0.1,dawg,0.6,0.3,,,,,,,,,,,,,,,
salted,0.6,0.3,new salted,0.9,0.7,,,,,,,,,,,,,,,
french v,0.5,0.4,fv; vanilla,0.9,0.5; 0.1,,,,,,,,,,,,,,,
cbp,0.9,0.1,cbp,0.6,0.3,,,,,,,,,,,,,,,
pista; brownie batter,0.8,0.3; 0.2,brownie batter; tcp,0.9,0.8; 0.1,,,,,,,,,,,,,,,
maf,0.4,0.3,maf; spumoni,0.8,0.4; 0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,4.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12/1,left on shelf,amount decreased,12/2,left on shelf,amount decreased,12/3,left on shelf,amount decreased,12/4,left on shelf,amount decreased,12/5,left on shelf,amount decreased,12/6,left on shelf,amount decreased,12/7,left on shelf,amount decreased
,,,,,,,,,wildberry,0.1,0.4,wildberry,0.9,0.2,wildberry,0.5,0.4,,,
,,,,,,,,,praline,0.2,0.3,praline cream,0.7,0.5,praline; rocky,0.8,0.7; 0.2,,,
,,,,,,,,,dawg; straw ch,0.5,0.6; 0.5,straw ch; strawberry,0.8,0.5; 0.2,straw,0.2,0.6,,,
,,,,,,,,,salted,0.2,0.7,salted; tcp,0.9,0.2; 0.1,tcp,0.6,0.3,,,
,,,,,,,,,vanilla,0.7,0.2,vanilla,0,0.7,vanilla,0.3,0.7,,,
,,,,,,,,,cbp,0.1,0.5,cbp; cc,0.4,0.1; 0.6,cc; choc,0.4,0.4; 0.6,,,
,,,,,,,,,tcp; dawg,0.6,0.9; 0.4,dawg; maf,0.7,0.6; 0.3,maf,0.7,1,,,
,,,,,,,,,spumoni,0.6,0.2,spumoni,0.1,0.5,spu; huckle,0.4,0.1; 0.6,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.7,,,4.5,,,5.6,,,
,,,,,,,,,,,,,,,,,,,,
